,Path,Caption,Link,Username
0,liriostore__\1969-12-31 21.00.00 2449080729902360971_35645162040.jpg,,https://www.instagram.com/liriostore__,liriostore__
1,liriostore__\2022-07-17 17.34.23 2884620028127291476_35645162040.mp4,"Sweater Suly😍 Los likes son gratis!
Uno de los consentidos de esta temporada, son gruesos y exquisitos❤️, los colores maravillosos❤️‍🔥❤️‍🔥

4.990 x 4💥

Despachos esta semana los días lunes y viernes❤️
Link directo a nuestro whatsapp en la Bio.

Felóz Domingo❤️",https://www.instagram.com/p/CgIOqHYgShU/,liriostore__
2,liriostore__\2022-07-11 18.26.26 2880298722718932421_35645162040.jpg,"❤❤❤Bellos Beatles Lineas❤❤❤
Uno no es suficiente😍

Ya disponibles en nuestro catálogo😍, amamos esos tonos💝

Seguimos agendando, despachos el día miercoles❤️❤️‍🔥

3800 x 4",https://www.instagram.com/p/Cf44G7LLEQ4/,liriostore__
3,liriostore__\2022-07-11 18.26.26 2880298722719023186_35645162040.jpg,"❤❤❤Bellos Beatles Lineas❤❤❤
Uno no es suficiente😍

Ya disponibles en nuestro catálogo😍, amamos esos tonos💝

Seguimos agendando, despachos el día miercoles❤️❤️‍🔥

3800 x 4",https://www.instagram.com/p/Cf44G7LLEQ4/,liriostore__
4,liriostore__\2022-07-11 18.26.26 2880298722719031472_35645162040.jpg,"❤❤❤Bellos Beatles Lineas❤❤❤
Uno no es suficiente😍

Ya disponibles en nuestro catálogo😍, amamos esos tonos💝

Seguimos agendando, despachos el día miercoles❤️❤️‍🔥

3800 x 4",https://www.instagram.com/p/Cf44G7LLEQ4/,liriostore__
5,liriostore__\2022-07-11 18.26.26 2880298722685472992_35645162040.jpg,"❤❤❤Bellos Beatles Lineas❤❤❤
Uno no es suficiente😍

Ya disponibles en nuestro catálogo😍, amamos esos tonos💝

Seguimos agendando, despachos el día miercoles❤️❤️‍🔥

3800 x 4",https://www.instagram.com/p/Cf44G7LLEQ4/,liriostore__
6,liriostore__\2022-07-11 18.26.26 2880298722693912866_35645162040.jpg,"❤❤❤Bellos Beatles Lineas❤❤❤
Uno no es suficiente😍

Ya disponibles en nuestro catálogo😍, amamos esos tonos💝

Seguimos agendando, despachos el día miercoles❤️❤️‍🔥

3800 x 4",https://www.instagram.com/p/Cf44G7LLEQ4/,liriostore__
7,liriostore__\2022-07-06 17.45.34 2876654273342284020_35645162040.jpg,"𝐇𝐞𝐫𝐦𝐨𝐬𝐨𝐬 𝐌𝐚𝐧𝐠𝐚 𝐆𝐥𝐨𝐛𝐨🌼🌼🌼
𝐌𝐞𝐫𝐞𝐜𝐞𝐧 𝐮𝐧 ❤️

Desliza➡️ y verás todos los tonos disponibles😍

Agendando para envios el día Viernes🔥, nuestro catálogo esta en el Link de la Bio ó solicitalo por interno.

💥5.700 x 4💥
Puedes surtir minimo desde 2 unidades por modelo.

Bendiciones en un día frio🥶🥶🥶",https://www.instagram.com/p/Cfr7dMZrxaW/,liriostore__
8,liriostore__\2022-07-06 17.45.34 2876654273342219742_35645162040.jpg,"𝐇𝐞𝐫𝐦𝐨𝐬𝐨𝐬 𝐌𝐚𝐧𝐠𝐚 𝐆𝐥𝐨𝐛𝐨🌼🌼🌼
𝐌𝐞𝐫𝐞𝐜𝐞𝐧 𝐮𝐧 ❤️

Desliza➡️ y verás todos los tonos disponibles😍

Agendando para envios el día Viernes🔥, nuestro catálogo esta en el Link de la Bio ó solicitalo por interno.

💥5.700 x 4💥
Puedes surtir minimo desde 2 unidades por modelo.

Bendiciones en un día frio🥶🥶🥶",https://www.instagram.com/p/Cfr7dMZrxaW/,liriostore__
9,liriostore__\2022-07-06 17.45.34 2876654273342279277_35645162040.jpg,"𝐇𝐞𝐫𝐦𝐨𝐬𝐨𝐬 𝐌𝐚𝐧𝐠𝐚 𝐆𝐥𝐨𝐛𝐨🌼🌼🌼
𝐌𝐞𝐫𝐞𝐜𝐞𝐧 𝐮𝐧 ❤️

Desliza➡️ y verás todos los tonos disponibles😍

Agendando para envios el día Viernes🔥, nuestro catálogo esta en el Link de la Bio ó solicitalo por interno.

💥5.700 x 4💥
Puedes surtir minimo desde 2 unidades por modelo.

Bendiciones en un día frio🥶🥶🥶",https://www.instagram.com/p/Cfr7dMZrxaW/,liriostore__
10,liriostore__\2022-07-06 17.45.34 2876654273342429175_35645162040.jpg,"𝐇𝐞𝐫𝐦𝐨𝐬𝐨𝐬 𝐌𝐚𝐧𝐠𝐚 𝐆𝐥𝐨𝐛𝐨🌼🌼🌼
𝐌𝐞𝐫𝐞𝐜𝐞𝐧 𝐮𝐧 ❤️

Desliza➡️ y verás todos los tonos disponibles😍

Agendando para envios el día Viernes🔥, nuestro catálogo esta en el Link de la Bio ó solicitalo por interno.

💥5.700 x 4💥
Puedes surtir minimo desde 2 unidades por modelo.

Bendiciones en un día frio🥶🥶🥶",https://www.instagram.com/p/Cfr7dMZrxaW/,liriostore__
11,liriostore__\2022-07-06 17.45.34 2876654273342299242_35645162040.jpg,"𝐇𝐞𝐫𝐦𝐨𝐬𝐨𝐬 𝐌𝐚𝐧𝐠𝐚 𝐆𝐥𝐨𝐛𝐨🌼🌼🌼
𝐌𝐞𝐫𝐞𝐜𝐞𝐧 𝐮𝐧 ❤️

Desliza➡️ y verás todos los tonos disponibles😍

Agendando para envios el día Viernes🔥, nuestro catálogo esta en el Link de la Bio ó solicitalo por interno.

💥5.700 x 4💥
Puedes surtir minimo desde 2 unidades por modelo.

Bendiciones en un día frio🥶🥶🥶",https://www.instagram.com/p/Cfr7dMZrxaW/,liriostore__
