,Owner,Caption:,Shortcode,Title,Date,Typename
0,tienda_jodaka,Afinamiento de cintura en ¡6 H…,CduUJUOF4wa,,2022-05-19 02:57:10,"Afinamiento de cintura en ¡6 HORAS! diarias, es posible con nuestra ✨ BODY reloj de arena✨

5 tallas para ¡SEGUIR REDUCIENDO!😱

XS, S, M, L, XL

$49.990

Compra directamente en nuestra página web.
www.modakingchile.cl

Recuerda que puedes pagar con tarjetas de créditos (en cuotas), tarjetas de débitos y transferencias.

Hacemos envíos a todo CHILE 🇨🇱 

👉🏼 Compra nuestras fajas originales, revisa el sello MODA KING PERÚ en la parte trasera de tu empaque👈🏼

Somos la tienda oficial en Chile🤩
Evita comprar réplicas❌

Tienda física:
Antonio Varas #1440, local 6, Providencia📍 

🚇 Metro cercano INÉS DE SUÁREZ, línea 6.

Horario:
Lunes a viernes: 11:00 a 19:00
Sábado: 10:30 a 15:00

+56 (9) 6351 6892"
1,tienda_jodaka,♥️Sigue @tiendapaulichile los …,CduNVttNMDD,,2022-05-19 01:57:31,"♥️Sigue @tiendapaulichile los mejores productos directo de 🇺🇸 🇺🇸 entrega inmediata. 🚛 @tiendapaulichile
📦 @tiendapaulichile"
2,tienda_jodaka,♥️Sigue @tiendapaulichile los …,CduNUcjNXku,,2022-05-19 01:57:21,"♥️Sigue @tiendapaulichile los mejores productos directo de 🇺🇸 🇺🇸 entrega inmediata. 🚛 @tiendapaulichile
📦 @tiendapaulichile"
3,tienda_jodaka,Esto y Mucho Más en @frikishop…,CduItRwDm-U,,2022-05-19 01:17:16,Esto y Mucho Más en @frikishop.chile 🤩
4,tienda_jodaka,Esto y Mucho Más en @frikishop…,CduIq4njSoo,,2022-05-19 01:17:00,Esto y Mucho Más en @frikishop.chile 🤩
5,tienda_jodaka,Esto y más en nuestra cuenta! …,CduDwktDIwC,,2022-05-19 00:33:49,"Esto y más en nuestra cuenta! ⬇️

@CalzadosBalcazar
@CalzadosBalcazar
@CalzadosBalcazar"
6,siemprelinda23,❤️,CdmMLfTr1mV,,2022-05-15 23:13:28,❤️
7,siemprelinda23,rojo ❤️ rosado 👛 o amarillo 🐥?,CdmKVE4ru6w,,2022-05-15 22:57:18,rojo ❤️ rosado 👛 o amarillo 🐥?
8,siemprelinda23,6 diseños que no te puedes per…,Cdljc-sA9vV,,2022-05-15 17:17:53,6 diseños que no te puedes perder 🥰🥰🥰🥰🥰🥰🥰
9,siemprelinda23,hoy me levanté a las 5 de la m…,CdhWcvgA4QB,,2022-05-14 02:08:12,"hoy me levanté a las 5 de la mañana 😦 5:50 estaba en el bus, son las 22 horas y es hora de armar pedidos de region ♥️ 
para darme ánimo hice un reels en esos días donde uno duda … y más si sacaron el alcohol gel de funcionamiento ya nos vamos a morir todos 😂😂😂😂 

#profesionaldesalud #tecnólogamédica #pymechilena #calzaschile #confeccionnacional"
10,siemprelinda23,ay que difícil 🥲🥲🥲🥲 no me gust…,CdgnfbEJo5F,,2022-05-13 19:16:40,ay que difícil 🥲🥲🥲🥲 no me gusta elegir ☹️
11,siemprelinda23,para días nublados como hoy.. …,CddvKNsrpgV,,2022-05-12 16:25:58,para días nublados como hoy.. vestidos 👗 🥰🥰🥰🥰🥰
12,tienda_martina20,Beatle Cecilia $12.000 Blanco …,CdIztctLjfE,,2022-05-04 13:21:40,"Beatle Cecilia $12.000
Blanco negro beinge y beinge oscuro 

Calza cuerina micro polar 
$12.000
Talla s 34/36 
Talla m 38/40 
Talla l 40/42 

@tienda_martina20 
@tienda_martina20"
13,tienda_martina20,Beatle Cecilia $12.000 Blanco …,CdHoidNNpgW,,2022-05-04 02:24:49,"Beatle Cecilia $12.000
Blanco negro beinge y beinge oscuro 

Calza cuerina micro polar 
$12.000
Talla s 34/36 
Talla m 38/40 
Talla l 40/42 

@tienda_martina20 
@tienda_martina20"
14,tienda_martina20,Beatle Cecilia $12.000 Blanco …,CdHcXxgN3jr,,2022-05-04 00:38:30,"Beatle Cecilia $12.000
Blanco negro beinge y beinge oscuro 

Calza cuerina micro polar 
$12.000
Talla s 34/36 
Talla m 38/40 
Talla l 40/42 

@tienda_martina20 
@tienda_martina20"
15,tienda_martina20,Camisa cuadro $20.000 Talla st…,Cc8a76xLCzQ,,2022-04-29 17:54:19,"Camisa cuadro $20.000
Talla standard 
Negro, gris , beinge y rosa 

Beatle Cecilia $12.000
Talla standard 
Beinge negro y blanco beinge oscuro 

Calza cuerina micro polar $12.000
Talla s 34/36 
Talla m 38/40 
Talla l 40/42 

@tienda_martina20 
@tienda_martina20"
16,tienda_martina20,🖤tienda_martina20🖤,Cc8a2hELCfl,,2022-04-29 17:53:34,🖤tienda_martina20🖤
17,tienda_martina20,Camisa cuadro $20.000 Talla st…,Cc7368oroER,,2022-04-29 12:48:21,"Camisa cuadro $20.000
Talla standard 
Negro, gris , beinge y rosa 

Beatle Cecilia $12.000
Talla standard 
Beinge negro y blanco beinge oscuro 

Calza cuerina micro polar $12.000
Talla s 34/36 
Talla m 38/40 
Talla l 40/42 

@tienda_martina20 
@tienda_martina20"
18,ingreidacl,Ya se está acabando el stock d…,CbI3MvQJRdu,,2022-03-15 20:49:22,Ya se está acabando el stock de prendas 2x1! Aprovechen que queda lo último antes de partir con lo nuevo 💣 2x1 EN TODA LA TIENDA! Shop now! www.ingreida.cl
19,ingreidacl,www.ingreida.cl 🔥,CbAyskdrbpr,,2022-03-12 17:36:06,www.ingreida.cl 🔥
20,ingreidacl,POLAR INGRE🤍 ideal para esta t…,Ca9yxAHL5oz,,2022-03-11 13:38:59,POLAR INGRE🤍 ideal para esta temporada de transición ⛅️ lo mejor? Están 2x1 igual que toooooda la tienda 🤫
21,ingreidacl,Fucsia o azul? Para que elegir…,CavkKd4rerD,,2022-03-06 01:02:01,Fucsia o azul? Para que elegir si te puedes llevar los 2🤭 TODA LA TIENDA ESTÁ 2x1
22,ingreidacl,Hoy ingresaron estas bombas🤍 l…,CakUX01rQg0,,2022-03-01 16:12:24,Hoy ingresaron estas bombas🤍 lo mejor es que entraron altiro al 2x1!!! Aprovechen esta promo que está imperdible!! www.ingreida.cl
23,ingreidacl,@keikitanida hermosaaa con nue…,CadRhmdrwae,,2022-02-26 22:32:50,@keikitanida hermosaaa con nuestro vestido DUSTY🔥 recuerden que toda la tienda está con 2x1! SHOP NOW! www.ingreida.cl
